Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced?
,,,430.5,0.0,15.0,0.0,,430.5,0.0,,,Financial,Country Funds-Closed-end,Finance-Investment Fund,0.94,0.4883342376559899,103.8,5.7,1,28,2004,0
128.2,27.7,2.1,330.0,63.5068,11.0,698.57,1.1,330.0,63.5068,,,Financial,REITS,REITS-Diversified,2.04,-0.3664921465968529,97.1,5.4,12,16,2004,1
31.5,4.3,2.9,127.65,39.025,18.5,721.96,4.5,127.65,39.025,,,Energy,Coal,Coal,5.27,0.148883374689833,91.7,4.4,12,5,2006,0
7.3,26.0,,1127.0,35.0,28.0,980.0,,1127.0,35.0,0.0275494,29880.0,"Consumer, Non-cyclical",Agriculture,Tobacco,1.77,0.395256916996071,90.7,5.7,2,1,2002,1
,,-44.5,82.5,38.2717,11.0,420.99,,82.5,38.2717,0.00083715,369.0,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,5.57,0.39977155910909,90.6,4.2,2,8,2001,1
-51.1,-337.7,-12.5,87.0,22.7327,15.0,340.99,-0.2,87.0,22.7327,,,"Consumer, Non-cyclical",Biotechnology,Agricultural Biotech,6.52,0.5208333333333119,106.8,3.9,9,27,2000,1
,,,100.005,0.0,15.0,0.0,,100.005,0.0,,,Financial,Closed-end Funds,Closed-end Funds,1.03,-0.108401084010841,92.6,5.7,12,19,2003,0
,,3.7,327.423,39.5859,17.5,692.75,,327.423,39.5859,,,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,3.3,0.5117707267144339,89.1,4.9,8,8,2005,0
,-0.5,,225.802,30.6037,16.5,504.96,4.5,225.802,30.6037,,,Communications,Telecommunications,Satellite Telecom,2.97,-0.1027749229187949,86.9,5.1,5,10,2005,1
,,8.8,94.185,19.9618,13.0,259.5,,94.185,19.9618,,,Industrial,Engineering&Construction,Engineering/R&D Services,5.34,-0.542138984721521,93.6,4.4,10,18,2006,1
49.8,-161.2,-11.0,43.2,19.3767,12.0,232.52,-3.0,43.2,19.3767,,,"Consumer, Non-cyclical",Pharmaceuticals,Drug Delivery Systems,6.61,0.0574712643678087,107.6,3.9,11,10,2000,0
,,13.3,35.0,13.2599,10.0,132.599,,35.0,13.2599,,,Technology,Software,Medical Information Sys,5.79,0.592417061611377,111.3,4.1,2,8,2000,1
,,4.5,50.0,19.7959,10.0,197.96,,50.0,19.7959,,,Technology,Software,Enterprise Software/Serv,1.88,0.0,96.9,5.8,5,22,2002,0
