Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
0000492D US,Pioneer Municipal and Equity I,,,,430.5,0.0,15.0,0.0,723761102,,430.5,0.0,,,,,Financial,Country Funds-Closed-end,Finance-Investment Fund,0.94,0.4883342376559899,103.8,5.7,1,28,2004,0
0000708D US,Spirit Finance Corp/Old,128.2,27.7,2.1,330.0,63.5068,11.0,698.57,848568309,1.1,330.0,63.5068,,,10.50 - 12.50,Priced Within Range,Financial,REITS,REITS-Diversified,2.04,-0.3664921465968529,97.1,5.4,12,16,2004,1
0117799D US,Penn Virginia GP Holdings LP,31.5,4.3,2.9,127.65,39.025,18.5,721.96,70788P105,4.5,127.65,39.025,,,18 - 20,Priced Within Range,Energy,Coal,Coal,5.27,0.148883374689833,91.7,4.4,12,5,2006,0
0118185D US,Loews Corp - Carolina Group,7.3,26.0,,1127.0,35.0,28.0,980.0,540424207,,1127.0,35.0,0.0275494,29880.0,25 - 28,Priced Within Range,"Consumer, Non-cyclical",Agriculture,Tobacco,1.77,0.395256916996071,90.7,5.7,2,1,2002,1
0118440Q US,Third Wave Technologies Inc,,,-44.5,82.5,38.2717,11.0,420.99,88428W108,,82.5,38.2717,0.00083715,369.0,13-Nov,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,5.57,0.39977155910909,90.6,4.2,2,8,2001,1
0120599D US,Eden Bioscience Corp,-51.1,-337.7,-12.5,87.0,22.7327,15.0,340.99,279445878,-0.2,87.0,22.7327,,,14-Dec,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Agricultural Biotech,6.52,0.5208333333333119,106.8,3.9,9,27,2000,1
0121648D US,Old RMR Real Estate Income Fun,,,,100.005,0.0,15.0,0.0,74964K609,,100.005,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.03,-0.108401084010841,92.6,5.7,12,19,2003,0
0212710D US,K&F Industries Holdings Inc,,,3.7,327.423,39.5859,17.5,692.75,482241106,,327.423,39.5859,,,16 - 18,Priced Within Range,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,3.3,0.5117707267144339,89.1,4.9,8,8,2005,0
0216051D US,New Skies Satellites Holdings,,-0.5,,225.802,30.6037,16.5,504.96,N.A.,4.5,225.802,30.6037,,,18 - 20,Priced Below Range,Communications,Telecommunications,Satellite Telecom,2.97,-0.1027749229187949,86.9,5.1,5,10,2005,1
0313624D US,Stanley Inc,,,8.8,94.185,19.9618,13.0,259.5,854532108,,94.185,19.9618,,,14-Dec,Priced Within Range,Industrial,Engineering&Construction,Engineering/R&D Services,5.34,-0.542138984721521,93.6,4.4,10,18,2006,1
0355864Q US,AeroGen Inc,49.8,-161.2,-11.0,43.2,19.3767,12.0,232.52,7779309,-3.0,43.2,19.3767,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Drug Delivery Systems,6.61,0.0574712643678087,107.6,3.9,11,10,2000,0
0404579D US,Landacorp Inc,,,13.3,35.0,13.2599,10.0,132.599,514756105,,35.0,13.2599,,,10-Aug,Priced Within Range,Technology,Software,Medical Information Sys,5.79,0.592417061611377,111.3,4.1,2,8,2000,1
0543122D US,Altiris Inc,,,4.5,50.0,19.7959,10.0,197.96,02148M100,,50.0,19.7959,,,12-Oct,Priced Within Range,Technology,Software,Enterprise Software/Serv,1.88,0.0,96.9,5.8,5,22,2002,0
0556728D US,Cogenics Icoria Inc,16.3,-58.6,-34.2,35.0,23.9113,7.0,167.38,451045108,-0.1,35.0,23.9113,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.17,0.1167542323409229,110.7,4.0,5,5,2000,1
0561286D US,CoTherix Inc,,-102.9,-23.8,30.0,19.5893,6.0,117.54,22163T103,-1.0,30.0,19.5893,,,10-Aug,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.86,0.5265929436545569,91.7,5.5,10,15,2004,0
0618171D US,Turnstone Systems Inc,,-3057.9,,87.0,29.3538,29.0,851.26,900423104,,87.0,29.3538,0.00138606,879.0,23 - 25,Priced Above Range,Communications,Telecommunications,Networking Products,3.99,0.2970885323826589,112.0,4.0,1,31,2000,1
0618586D US,Buckeye GP Holdings LP,,,1.6,178.5,28.3,17.0,481.1,118167105,,178.5,28.3,,,19 - 21,Priced Below Range,Energy,Pipelines,Pipelines,5.27,0.1965601965601969,82.0,4.7,8,4,2006,0
0623514D US,United Surgical Partners Inter,3.9,9.5,2.5,144.9,22.9646,14.0,321.5,913016309,,144.9,22.9646,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,4.14,0.16882386043895,92.6,4.5,6,7,2001,1
0746722D US,Pacific Energy Partners LP,23.6,17.6,4.1,167.7,10.465,19.5,204.07,69422R105,2.3,167.7,10.465,,,18.50 - 20.50,Priced Within Range,Energy,Pipelines,Pipelines,1.83,0.1111728738187739,88.1,5.8,7,23,2002,0
0759976D US,Government Properties Trust In,60.5,-9.6,-0.9,193.2,18.0231,10.0,180.23,38374W107,0.6,193.2,18.0231,,,11-Sep,Priced Within Range,Financial,REITS,REITS-Office Property,0.94,0.4883342376559899,103.8,5.7,1,27,2004,1
0778324D US,Esperion Therapeutics Inc/Old,,,,54.0,24.0249,9.0,216.22,29664R106,-4.7,54.0,24.0249,0.00643161,2192.0,10-Aug,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.51,0.0,107.3,4.1,8,10,2000,1
0813137D US,Ribapharm Inc,88.1,47.8,79.0,299.0,150.0,10.0,1500.0,762537108,0.5,299.0,150.0,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.88,0.5592841163310839,93.0,5.9,4,12,2002,1
0814801D US,Bruker AXS Inc,,,-2.8,67.275,54.8303,6.5,356.4,11679P101,,67.275,54.8303,,,10-Aug,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Imaging Systems,2.06,-0.3945885005637069,88.8,5.7,12,14,2001,0
0816864D US,S&P 500 Covered Call Fund Inc,,,,336.0,0.0,20.0,0.0,78381P109,,336.0,0.0,7.20851,1276050.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,2.39,0.7820646506777719,92.6,5.2,3,28,2005,0
0818604D US,Bridge Street Financial Inc,18.8,9.6,,15.1073,2.68367,10.0,26.84,10805U109,1.2,15.1073,2.68367,,,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Eastern US,1.16,0.442233278054161,82.4,5.8,1,6,2003,1
0820558D US,Talarian Corp,-6.2,-157.3,-30.0,67.2,18.8551,16.0,301.68,874090103,-0.7,67.2,18.8551,,,14-Dec,Priced Above Range,Technology,Software,Enterprise Software/Serv,6.86,0.23201856148492,108.3,4.0,7,21,2000,1
0824986D US,EEG Glider Inc,1.5,-23.3,-34.0,189.925,21.3415,10.0,213.41,37951D201,,189.925,21.3415,,,10-Oct,Priced Within Range,Communications,Media,Cable/Satellite TV,0.09,0.4704187527233639,74.3,9.0,5,13,2011,1
0852651D US,Metals USA Holdings Corp,5.1,2.6,5.3,239.953,37.0248,21.0,777.52,59132A104,1.8,239.953,37.0248,,,18 - 20,Priced Above Range,Basic Materials,Iron/Steel,Steel-Producers,0.17,0.1736884910697429,72.2,9.9,4,9,2010,0
