Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
RIVN US,Rivian Automotive Inc,13724.1,12,-95.5,-29.5,877.121,78,29.14102554,68415.4,11/10/21,76954A103,-1.6,5.36E+08,"72.00
 - 74.00
",Priced Above Range,Auto Manufacturers,"Consumer, Cyclical",Auto-Cars/Light Trucks,47.7523
CPNG US,Coupang Inc,4550,24.1,0.5,1,1540.34,35,40.7142868,53911.9,3/11/21,22266T109,1,1.43E+09,"32.00
 - 34.00
",Priced Above Range,Internet,Communications,E-Commerce/Products,86.9732
BTX US,BlackRock Technology and Priva,4400,,,,0,20,0,0,3/26/21,09260Q108,,1.06E+08,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,49.5313
688235 CH,BeiGene Ltd,3964.22,54.9,-16.9,-11.2,132.313,192.6,-16.41744804,4003.97, ,N.A.,,5.60E+07, ,,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,48.7126
GFS US,GLOBALFOUNDRIES Inc,2855.16,-8.6,-3.9,-1.5,534.685,47,-1.276595712,25130.2,10/28/21,N.A.,3.1,5.58E+08,"42.00
 - 47.00
",Priced Within Range,Semiconductors,Technology,Electronic Compo-Semicon,100.943
ECAT US,BlackRock ESG Capital Allocation Term Trust,2500,,,,0,20,0,0,9/28/21,09262F100,,5.15E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,51.8249
BMBL US,Bumble Inc,2472.5,1.8,-51.9,-18.1,111.678,43,63.5116272,4802.17,2/11/21,12047B105,1,1.25E+08,"37.00
 - 39.00
",Priced Above Range,Internet,Communications,E-Commerce/Services,118.119
HOOD US,Robinhood Markets Inc,2255.46,58.2,47.8,6.4,714.951,38,-8.368420601,27168.1,7/29/21,770700102,-0.00680957,6.12E+08,"38.00
 - 42.00
",Priced Within Range,Internet,Communications,Internet Brokers,79.6512
APP US,AppLovin Corp,2000,43.4,33.5,28.1,210.034,80,-18.5,16802.7,4/15/21,03831W108,6.2,2.40E+08,"75.00
 - 85.00
",Priced Within Range,Software,Technology,Entertainment Software,77.5712
SPNGU US,Spinning Eagle Acquisition Corp,2000,,,,200,0,,0, ,N.A.,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
OLPX US,Olaplex Holdings Inc,1779.85,-7.7,4.6,1.1,648.125,21,16.66666603,13610.6,9/30/21,679369108,0.2,6.61E+08,"17.00
 - 19.00
",Priced Above Range,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&Toiletries,99.4064
PATH US,UiPath Inc,1538.57,9.3,-5.1,-2.5,440.285,56,23.2142849,24656,4/21/21,90364P105,0.5,3.69E+08,"52.00
 - 54.00
",Priced Above Range,Software,Technology,Enterprise Software/Serv,77.7495
RYAN US,Ryan Specialty Holdings Inc,1538.22,21,3.7,1.1,115.027,23.5,17.02127647,2703.13,7/22/21,78351F107,4.2,1.16E+08,"22.00
 - 25.00
",Priced Within Range,Insurance,Financial,Insurance Brokers,91.8641
NBXG US,Neuberger Berman Next Generation Connectivity Fund Inc,1500,,,,0,20,0,0,5/27/21,64133Q108,,3.52E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,44.6459
OCDX US,Ortho Clinical Diagnostics Holdings PLC,1485.8,15.6,-2.6,-0.0119245,227.985,17,-5.294117451,3875.74,1/28/21,N.A.,1.2,16993,"20.00
 - 23.00
",Priced Below Range,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Kits,0.00714787
MQ US,Marqeta Inc,1411.36,-25,5.3,1.7,52.2725,27,13.0370369,1411.36,6/9/21,57142B104,0.1,3.85E+08,"20.00
 - 24.00
",Priced Above Range,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,81.8072
S US,SentinelOne Inc,1408.75,32.2,-35.1,-12.2,41.6786,35,21.4285717,1458.75,6/30/21,81730H109,0.1,2.83E+08,"31.00
 - 32.00
",Priced Above Range,Software,Technology,Computer Software,89.5549
CVIIU US,Churchill Capital Corp VII,1380,,,0.00358876,138,10,6.599999905,1380,2/12/21,17144M201,-0.1,5.60E+06,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,9.6525
KAHCU US,KKR Acquisition Holdings I Corp,1380,,,,138,10,0,1380,3/17/21,48253T208,,2.33E+07,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,16.8687
ASZ/U US,Austerlitz Acquisition Corp II,1380,,,4.1,138,10,2.5,1380,2/26/21,N.A.,-0.00691569,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
TSPH US,TuSimple Holdings Inc,1351.35,,,-51,188.263,40,0,7530.52,4/15/21,90089L108,-0.7,4.23E+07,"35.00
 - 39.00
",Priced Above Range,Auto Manufacturers,"Consumer, Cyclical",Auto-Med&Heavy Duty Trks,20.5209
HCP US,HashiCorp Inc,1322.4,22.5,-32.7,-7.4,16.53,80,6.487500191,1322.4,12/9/21,418100103,-0.0559835,1.41E+08,"68.00
 - 72.00
",Priced Above Range,Software,Technology,Computer Software,87.5115
HTZ US,Hertz Global Holdings Inc,1291.08,-3.4,-31.6,-12.3,473.474,29,12.48275852,13730.7,11/9/21,42806J700,7.2,3.15E+08,"25.00
 - 29.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Rental Auto/Equipment,102.461
AGL US,agilon health Inc,1232.57,40.4,-4.2,-14.9,391.012,23,34.78260803,8993.28,4/15/21,00857U107,-0.1,4.09E+08,"20.00
 - 23.00
",Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Phys Practice Mgmnt,99.138
