Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out),Fed Rate,CPI,Consumer Confidence,Unemployment Rate
AWE US,New Cingular Wireless Services Inc,10620.0,,,0.075987,360.0,29.5,0.2657282392881356,10620.0,2000-04-27,00209A106,,9300.0,26.00 - 32.00,Priced Within Range,Telecommunications,Communications,Cellular Telecom,0.000340715,6.019666666666667,180.3,109.2,3.8
3527578Q US,Agere Systems Inc,4140.0,-6.3,1.2,3.3,600.0,6.0,0.0555555572166666,3600.0,2001-03-28,00845V308,-0.0286492,,6.00 - 7.00,Priced Within Range,Semiconductors,Technology,Electronic Compo-Semicon,,5.310967741935484,184.7,91.5,4.3
BGPTQ US,BearingPoint Inc,2328.38,-7.4,-1.0,-1.7,0.0,18.0,1.6927083333333333,0.0,2001-02-08,74002205,-14.2,402.0,16.00 - 18.00,Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Consulting Services,0.00910124,5.494285714285715,184.4,90.6,4.2
1235274D US,GenOn Energy Inc,1794.0,-14.6,-18.5,7.9,292.0,30.0,0.3333333333333333,8760.0,2001-05-01,3.72E+111,,195390.0,28.00 - 30.00,Priced Within Range,Electric,Utilities,Electric-Generation,0.0252798,4.21225806451613,185.3,92.0,4.3
MIRKQ US,Mirant Corp/Old,1276.0,-11.4,-10.4,-16.8,330.0,22.0,1.5754132704545454,7260.0,2000-09-27,604675108,0.1,21112.0,15.00 - 17.00,Priced Above Range,Electric,Utilities,Independ Power Producer,0.00520682,6.517,182.3,106.8,3.9
BWNG US,Broadwing Corp,1138.5,,,-9.5,334.877,36.0,3.759162902777778,12055.6,2000-07-28,1.12E+105,,249.0,28.00 - 30.00,Priced Above Range,Telecommunications,Communications,Telephone-Integrated,0.000276808,6.5445161290322575,181.5,108.3,4.0
VSGIQ US,Viasystems Group Inc/Old,924.0,-13.0,25.3,-28.7,0.0,21.0,-0.3968253816666666,0.0,2000-03-24,92553H100,,,16.00 - 19.00,Priced Above Range,Electronics,Industrial,Circuit Boards,,5.853548387096774,180.0,107.1,4.0
EVC US,Entravision Communications Corp,759.0,22.8,-40.8,-22.0,103.509,16.5,0.918273636969697,1707.9,2000-08-02,29382R107,0.8,51900000.0,13.00 - 15.00,Priced Above Range,Internet,Communications,E-Marketing/Info,63.5882,6.496774193548387,181.9,107.3,4.1
1856613D US,Monsanto Co,700.0,8.4,15.4,11.3,255.0,20.0,1.0,5100.0,2000-10-18,61166W101,7.3,,21.00 - 24.00,Priced Below Range,Chemicals,Basic Materials,Agricultural Chemicals,,6.509354838709677,182.6,105.8,3.9
ON US,ON Semiconductor Corp,552.0,-14.1,22.2,11.5,171.167,16.0,2.3193359375,2738.67,2000-04-28,682189105,4.4,461000000.0,15.00 - 17.00,Priced Within Range,Semiconductors,Technology,Electronic Compo-Semicon,109.16,6.019666666666667,180.3,109.2,3.8
