Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate
0000492D US,Pioneer Municipal and Equity I,,,,430.5,0.0,15.0,0.0,0.0,2004-01-28,723761102,,430.5,0.0,,,,,Financial,Country Funds-Closed-end,Finance-Investment Fund,0.94,0.4883342376559899,103.8,5.7
0000708D US,Spirit Finance Corp/Old,128.2,27.7,2.1,330.0,63.5068,11.0,12.72727299,698.57,2004-12-16,848568309,1.1,330.0,63.5068,,,10.50 - 12.50,Priced Within Range,Financial,REITS,REITS-Diversified,2.04,-0.3664921465968529,97.1,5.4
0117799D US,Penn Virginia GP Holdings LP,31.5,4.3,2.9,127.65,39.025,18.5,-2.702702761,721.96,2006-12-05,70788P105,4.5,127.65,39.025,,,18 - 20,Priced Within Range,Energy,Coal,Coal,5.27,0.148883374689833,91.7,4.4
0118185D US,Loews Corp - Carolina Group,7.3,26.0,,1127.0,35.0,28.0,3.928571463,980.0,2002-02-01,540424207,,1127.0,35.0,0.0275494,29880.0,25 - 28,Priced Within Range,"Consumer, Non-cyclical",Agriculture,Tobacco,1.77,0.395256916996071,90.7,5.7
0118440Q US,Third Wave Technologies Inc,,,-44.5,82.5,38.2717,11.0,0.568181813,420.99,2001-02-08,88428W108,,82.5,38.2717,0.00083715,369.0,13-Nov,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,5.57,0.39977155910909,90.6,4.2
0120599D US,Eden Bioscience Corp,-51.1,-337.7,-12.5,87.0,22.7327,15.0,100.0,340.99,2000-09-27,279445878,-0.2,87.0,22.7327,,,14-Dec,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Agricultural Biotech,6.52,0.5208333333333119,106.8,3.9
0121648D US,Old RMR Real Estate Income Fun,,,,100.005,0.0,15.0,0.0,0.0,2003-12-19,74964K609,,100.005,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.03,-0.108401084010841,92.6,5.7
0212710D US,K&F Industries Holdings Inc,,,3.7,327.423,39.5859,17.5,-0.571428597,692.75,2005-08-08,482241106,,327.423,39.5859,,,16 - 18,Priced Within Range,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,3.3,0.5117707267144339,89.1,4.9
0216051D US,New Skies Satellites Holdings,,-0.5,,225.802,30.6037,16.5,0.484848499,504.96,2005-05-10,N.A.,4.5,225.802,30.6037,,,18 - 20,Priced Below Range,Communications,Telecommunications,Satellite Telecom,2.97,-0.1027749229187949,86.9,5.1
0313624D US,Stanley Inc,,,8.8,94.185,19.9618,13.0,19.23077011,259.5,2006-10-18,854532108,,94.185,19.9618,,,14-Dec,Priced Within Range,Industrial,Engineering&Construction,Engineering/R&D Services,5.34,-0.542138984721521,93.6,4.4
0355864Q US,AeroGen Inc,49.8,-161.2,-11.0,43.2,19.3767,12.0,0.0,232.52,2000-11-10,7779309,-3.0,43.2,19.3767,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Drug Delivery Systems,6.61,0.0574712643678087,107.6,3.9
0404579D US,Landacorp Inc,,,13.3,35.0,13.2599,10.0,59.375,132.599,2000-02-08,514756105,,35.0,13.2599,,,10-Aug,Priced Within Range,Technology,Software,Medical Information Sys,5.79,0.592417061611377,111.3,4.1
0543122D US,Altiris Inc,,,4.5,50.0,19.7959,10.0,,197.96,2002-05-22,02148M100,,50.0,19.7959,,,12-Oct,Priced Within Range,Technology,Software,Enterprise Software/Serv,1.88,0.0,96.9,5.8
0556728D US,Cogenics Icoria Inc,16.3,-58.6,-34.2,35.0,23.9113,7.0,1.785714269,167.38,2000-05-05,451045108,-0.1,35.0,23.9113,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.17,0.1167542323409229,110.7,4.0
0561286D US,CoTherix Inc,,-102.9,-23.8,30.0,19.5893,6.0,0.0,117.54,2004-10-15,22163T103,-1.0,30.0,19.5893,,,10-Aug,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.86,0.5265929436545569,91.7,5.5
0618171D US,Turnstone Systems Inc,,-3057.9,,87.0,29.3538,29.0,234.4827576,851.26,2000-01-31,900423104,,87.0,29.3538,0.00138606,879.0,23 - 25,Priced Above Range,Communications,Telecommunications,Networking Products,3.99,0.2970885323826589,112.0,4.0
0618586D US,Buckeye GP Holdings LP,,,1.6,178.5,28.3,17.0,-4.529411793,481.1,2006-08-04,118167105,,178.5,28.3,,,19 - 21,Priced Below Range,Energy,Pipelines,Pipelines,5.27,0.1965601965601969,82.0,4.7
0623514D US,United Surgical Partners Inter,3.9,9.5,2.5,144.9,22.9646,14.0,29.4285717,321.5,2001-06-07,913016309,,144.9,22.9646,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,4.14,0.16882386043895,92.6,4.5
0746722D US,Pacific Energy Partners LP,23.6,17.6,4.1,167.7,10.465,19.5,-2.56410265,204.07,2002-07-23,69422R105,2.3,167.7,10.465,,,18.50 - 20.50,Priced Within Range,Energy,Pipelines,Pipelines,1.83,0.1111728738187739,88.1,5.8
0759976D US,Government Properties Trust In,60.5,-9.6,-0.9,193.2,18.0231,10.0,30.29999924,180.23,2004-01-27,38374W107,0.6,193.2,18.0231,,,11-Sep,Priced Within Range,Financial,REITS,REITS-Office Property,0.94,0.4883342376559899,103.8,5.7
